AgentName,AcctType,Opened By,Branch,Customer,Month,Year,Amount
Abhishek Kumar,Checking,Teller,Central,New,Jan,2014,10071
Abhishek Kumar,Savings,New Accts,Westside,New,Feb,2014,500
Abhishek Kumar,Checking,New Accts,Central,Existing,Feb,2014,10122
Abhishek Kumar,Checking,New Accts,North County,New,Feb,2014,4500
Abhishek Kumar,Checking,New Accts,Westside,Existing,Feb,2014,3807
Abhishek Kumar,Savings,New Accts,North County,New,Mar,2014,15984
Abhishek Kumar,CD,New Accts,North County,Existing,Apr,2014,8174
Abhishek Kumar,Savings,New Accts,Central,Existing,Apr,2014,6000
Abhishek Kumar,Checking,New Accts,Central,Existing,Apr,2014,100
Abhishek Kumar,Checking,Teller,North County,Existing,Apr,2014,4000
Abhishek Kumar,Savings,New Accts,Central,Existing,May,2014,8000
Abhishek Kumar,Checking,New Accts,North County,New,Jun,2014,4535
Abhishek Kumar,CD,New Accts,North County,New,Jun,2014,7165
Abhishek Kumar,Checking,Teller,Central,New,Jul,2014,4562
Abhishek Kumar,Checking,Teller,North County,New,Jul,2014,5517
Abhishek Kumar,CD,New Accts,North County,Existing,Jul,2014,13636
Abhishek Kumar,Savings,Teller,North County,New,Aug,2014,5862
Abhishek Kumar,Checking,New Accts,North County,New,Aug,2014,8882
Abhishek Kumar,Checking,New Accts,Westside,New,Sep,2014,35743
Abhishek Kumar,Checking,New Accts,Westside,New,Sep,2014,8349
Abhishek Kumar,Checking,New Accts,Central,New,Sep,2014,3434
Abhishek Kumar,CD,New Accts,Central,Existing,Sep,2014,13519
Abhishek Kumar,Savings,New Accts,Central,Existing,Oct,2014,7258
Abhishek Kumar,Checking,New Accts,Westside,New,Oct,2014,12673
Abhishek Kumar,Savings,New Accts,North County,Existing,Nov,2014,14849
Abhishek Kumar,Savings,New Accts,Westside,Existing,Dec,2014,65000
Abhishek Kumar,Checking,New Accts,Central,Existing,Jan,2015,3434
Abhishek Kumar,CD,New Accts,Central,Existing,Jan,2015,15208
Abhishek Kumar,Savings,New Accts,North County,Existing,Feb,2015,2878
Abhishek Kumar,CD,New Accts,North County,New,Apr,2015,5025
Abhishek Kumar,CD,Teller,Westside,Existing,Apr,2015,4384
Abhishek Kumar,Checking,New Accts,North County,Existing,Aug,2015,5000
Abhishek Kumar,Checking,Teller,North County,Existing,Aug,2015,13215
