EmpID,EmpName,DeptID,Salary,Location
1,Arjun,2,71297,Delhi
2,Meera,2,69790,Mumbai
3,Ravi,8,68360,Chennai
4,Simran,2,57702,Pune
5,Vikas,6,71334,Pune
6,Neha,1,50928,Mumbai
7,Amit,4,61721,Chennai
8,Pooja,7,75494,Mumbai
9,Karan,3,55458,Pune
10,Rekha,9,42882,Bangalore
11,Deepak,6,56389,Mumbai
12,Anita,6,64350,Pune
13,Suresh,7,44784,Bangalore
14,Geeta,3,76416,Bangalore
15,Manoj,2,74607,Delhi
16,Kavita,1,69314,Bangalore
17,Rahul,8,36127,Bangalore
18,Shweta,3,62864,Pune
19,Nikhil,3,45950,Pune
20,Anil,5,60094,Bangalore
21,Priya,2,68189,Mumbai
22,Ramesh,1,53907,Pune
23,Sonia,10,55060,Mumbai
24,Kapil,8,65945,Bangalore
25,Alok,5,42320,Pune
26,Monika,6,57146,Chennai
27,Vivek,3,67483,Bangalore
28,Kajal,1,57282,Chennai
29,Sachin,10,42443,Pune
30,Ritu,3,71127,Pune
31,Sunil,4,45083,Delhi
32,Pankaj,5,66129,Mumbai
33,Naina,10,42431,Bangalore
34,Ajay,8,63462,Chennai
35,Rashmi,9,37530,Pune
36,Dev,5,79205,Chennai
37,Swati,4,44943,Chennai
38,Harish,1,44269,Mumbai
39,Divya,6,57127,Chennai
40,Sanjay,6,72186,Chennai
41,Tina,6,60086,Delhi
42,Varun,4,60897,Pune
43,Komal,2,44111,Chennai
44,Rajesh,5,76714,Chennai
45,Lata,1,39378,Chennai
46,Arvind,4,65801,Pune
47,Sapna,4,76265,Chennai
48,Gopal,1,70580,Chennai
49,Preeti,3,54455,Mumbai
50,Farhan,2,35122,Pune
51,Arjun,7,63615,Bangalore
52,Meera,10,77833,Bangalore
53,Ravi,6,74277,Pune
54,Simran,6,74386,Pune
55,Vikas,5,69706,Bangalore
56,Neha,6,78117,Mumbai
57,Amit,9,79372,Chennai
58,Pooja,5,57434,Bangalore
59,Karan,2,79764,Pune
60,Rekha,5,37888,Bangalore
61,Deepak,5,45575,Mumbai
62,Anita,5,76388,Mumbai
63,Suresh,7,72640,Bangalore
64,Geeta,5,55956,Delhi
65,Manoj,10,35371,Delhi
66,Kavita,2,57058,Bangalore
67,Rahul,8,61215,Pune
68,Shweta,8,58101,Mumbai
69,Nikhil,4,67816,Chennai
70,Anil,5,35941,Bangalore
71,Priya,3,59813,Mumbai
72,Ramesh,8,58316,Chennai
73,Sonia,2,36754,Bangalore
74,Kapil,8,63948,Mumbai
75,Alok,7,35328,Pune
76,Monika,5,49047,Bangalore
77,Vivek,6,63835,Bangalore
78,Kajal,10,58856,Chennai
79,Sachin,7,38193,Pune
80,Ritu,7,71458,Mumbai
81,Sunil,4,59439,Pune
82,Pankaj,8,56498,Delhi
83,Naina,2,71819,Chennai
84,Ajay,4,55496,Mumbai
85,Rashmi,3,50972,Mumbai
86,Dev,4,51208,Chennai
87,Swati,6,58930,Pune
88,Harish,10,61826,Bangalore
89,Divya,3,67996,Mumbai
90,Sanjay,1,78461,Mumbai
91,Tina,6,76054,Chennai
92,Varun,2,45489,Delhi
93,Komal,3,44559,Chennai
94,Rajesh,5,40546,Bangalore
95,Lata,4,46098,Mumbai
96,Arvind,7,35493,Delhi
97,Sapna,1,69324,Delhi
98,Gopal,6,68827,Pune
99,Preeti,10,44250,Delhi
100,Farhan,8,76506,Chennai
101,Kunal,,50988,Ahemdabad
102,Prakash,,45679,Ludhiyana
104,Om,,34567,Delhi
